,strain_id,strain,type,Rating,effects,description,Flavors
1712,1712,queso,hybrid,5.0,"sleepy, tingly, hungry, creative, euphoric","created in 2011 by kannabia seeds using cheese and afghani genetics, queso (spanish for “cheese”) is a hybrid strain that provides powerful body effects and mood elevation. this potent strain, also know as kiss, is typically used to relieve pain, anxiety, and insomnia while offering a pugent cheese-like aroma. this aroma comes from then assumed cross of northern lights and skunk, speaking to the 65/35 indica-dominiant split described by kannabia. hailing from spain, this savory international delight is a treat for anyone lucky enough to get their hands caked with the kiefy cheese dust of this europian native.  ","cheese, earthy, skunk"
1101,1101,jamba juice,hybrid,5.0,"tingly, giggly, happy, talkative, energetic","jamba juice is a unique clone-only offering from golden state genetics. this pungent hybrid packs tantalizing exotic fruit aromas, offering sweet and candy flavors from start to finish.","earthy, sweet, berry"
1715,1715,r 4,hybrid,5.0,"uplifted, happy, relaxed, creative, focused","r-4, also known as cindy’s solution, is a cbd-dominant strain with exceptional therapeutic benefits. with a thc/cbd ratio of 1:40, r-4 sits firmly in the medical category, catering to consumers seeking relief from muscle spasms, chronic physical pain, nausea, and a shortlist of other ailments dulled by high quantities of cbd. this strain smells of chocolate and earth intermixed with a gentle floral undertone. enjoy r-4 at any time in the day as the psychoactive ingredients are kept to a minimum.","earthy, nutty, spicy/herbal"
1717,1717,rafael,sativa,5.0,"uplifted, happy, energentic","rafael (or raphael) is a sativa-dominant strain bred by tikun olam to contain high levels of cbd for patients experiencing sleep and digestive disorders. with a thc content of only 1 percent, rafael is a top choice for patients disinclined to cannabis’ psychoactive effects. this strain, with cbd levels of up to 18 percent, is named after raphael mechoulam, a driving force in cannabis research.",pine
1719,1719,rainbow jones,indica,5.0,"relaxed, talkative, uplifted, happy, aroused","rainbow jones by connoisseur genetics is a colorful indica-dominant strain with golden hairs and varying shades of purple. created by crossing granddaddy purple and casey jones, this strain offers predominantly sedative effects coupled with casey jones’ heady euphoria. the terpene profile is tart and earthy while retaining an herbaceous spice upon combustion/vaporization. enjoy rainbow jones later into the evening to assist with minor physical pain, depression, or restlessness.    ","diesel, sweet, grape"
1728,1728,rebel berry og,hybrid,5.0,"euphoric, happy, uplifted, relaxed, creative","rebel berry og was the winner for best outdoor at the 2016 oregon growers cup. this sativa-dominant hybrid created by kotton for rebel spirit cannabis was bred for potency and its ability to stimulate creativity. its one-of-a-kind aroma is thick with blueberries, citrus, cheese, and a smooth yet spicy vanilla finish. the flavor is that of a velvety cheesecake covered in a blueberry glaze, with tasteful notes of citrus and juniper on the exhale. rebel berry og’s effects are happy and full of laughter, leaving the consumer buzzing with euphoria. this clone-only strain is offered exclusively by rebel spirit cannabis.","blueberry, cheese, vanilla"
1054,1054,ice princess,hybrid,5.0,"happy, relaxed, sleepy, uplifted, euphoric","ice princess by brothers grimm seeds is a hybrid cross between a cinderella 99 mother and a white widow father. this combination creates dense, resinous pine tree shaped colas that reek of skunk, spice, and tropical fruit. it fares best indoors and is known to yield larger crops with the addition of extra light. ice princess offers consumers cerebral effects similar to cinderella 99, but with heavier physical potency.  ",tropical
1729,1729,rebel god smoke,sativa,5.0,"uplifted, euphoric, energetic, focused, happy","rebel god smoke is a pro-grade sativa-dominant strain that blasts users with the motivating energy of a launching warhead. this rocket fuel, bred by coloardo seed inc., is a cross of cinderella 99 and gupta kush and has been known to finish flowering in under 8 weeks. the plant should smell of red currant and cabernet with just a hint of fuel on the rim. use this strain with caution, as it can overstimulate even the most seasoned cannabis veteran.   ","citrus, grapefruit, earthy"
1741,1741,red velvet pie,hybrid,5.0,"euphoric, energetic, happy, giggly, creative","red velvet pie by tko reserve is a colorful hybrid with balanced effects. this strain was created by crossing cherry pie and burmese thai, and it expresses deep green buds flecked with pink and purple foliage throughout. the flavors are creamy and chocolatey with spicy notes of cinnamon. its aroma is a bit funkier with elements of fuel and cacao, filling the room with a bouquet of potent terpenes. enjoy red velvet pie to help relieve stress while donning a stimulating and euphoric glow.  ",sweet
1085,1085,jack smack,sativa,5.0,"focused, happy, creative, aroused, energetic","jack smack by ustad seeds is an astonishingly powerful sativa. known for its mind-warping rush of euphoria and heart-racing stimulation, jack smack is pure rocket fuel. mind your dosage as this strain can easily overstimulate even the most seasoned consumer. jack smack is a cross of jack herer and herijuana and exhibits a strong fuel aroma native to both parent strains. enjoy this strain to combat lethargy and depression.","earthy, tree, fruit, flowery"
