,strain_id,strain,type,Rating,effects,description,Flavors
1833,1833,silver bubble,hybrid,3.86,"happy, relaxed, uplifted, euphoric, creative","silver bubble is a supreme hybrid; a compelling mix of haze, northern lights, and skunk bred by dna genetics. it is a strain with a heavy haze influence and has become a mainstay at the amsterdam coffee shops, specifically grey area. silver bubble is a timeless dutch strain that provides well-rounded effects and an aroma spiced with sandalwood. ","sweet, woody, berry"
1267,1267,lifesaver,hybrid,3.86,"relaxed, euphoric, energetic, uplifted, tingly","when it comes to both its candy-like taste and ability to knock out chronic pain, lifesaver definitely lives up to its name. this indica-dominant cross of the breeder strains bog bubble and subcool jcb was created to meet the special demands of pain sufferers. relaxing with a grape and bubble gum aroma, this strain is worth a try for those looking for a stronger, medicated feeling. lifesaver flowers quickly, usually within 8 weeks.","citrus, sweet, berry"
1266,1266,liberty haze,hybrid,3.86,"happy, uplifted, relaxed, euphoric, energetic","liberty haze is the winner of the 2011 high times cannabis cup and quickly became popular for its fast flowering time and unique taste. barney’s farm created this strain by breeding g13 with chemdawg, the latter of which is known for its quick flowering time. liberty haze picked up these traits and this medium tall, bushy plant matures in 8-9 weeks. the buds are lime green heavy with crystals and usually have plenty of red hairs. users like this strain for its refreshing lime taste and its potency—thc content has been tested at 25%. however, this hybrid has more heady, cerebral effects, making it a popular choice for those treating depression and anxiety.","citrus, lime, sweet"
1886,1886,soul assassin og,hybrid,3.86,"relaxed, euphoric, happy, focused, sleepy","soul assassin og is an og kush variety bred by the soul assassins crew, a collective of musicians and artists affiliated with the hip hop group cypress hill. while the genetics remain unclassified, there have been rumblings through the underground that lemon thai is the mistress responsible for influencing og kush into its soul assassin og offspring. it is an indica-dominant hybrid that produces smooth, expansive smoke with and aroma of pungent diesel and citrus fumes. soul assassin og evokes sleepy, knockout indica effects that help silence any pain, stress, or tension from a long a day.","diesel, lemon, pungent"
1263,1263,lennon,sativa,3.86,"happy, euphoric, energetic, aroused, sleepy","lennon is a dizzying sativa-dominant strain from pyramid seeds. it’s a cross between jack herer and a pure haze, giving the strain heady, uplifting qualities. this sativa is not for the faint of heart. lennon’s potent psychoactive effects can be overwhelming for uninitiated consumers, leading to dizziness and disorientation. mind your dosage and enjoy this strain’s citrus liqueur flavor alongside titillating mental and physical stimulation.   ","honey, vanilla, spicy/herbal"
805,805,fruit loops,hybrid,3.86,"relaxed, happy, uplifted, euphoric, focused","fruit loops is an indica-dominant hybrid that smells as good as it sounds, tucan sold separately. this luscious strain reeks of its recessive grapefruit and blueberry genetics and takes white widow’s moderate body effects further with every puff. this high potency hybrid lingers and is slightly stimulating, but overall, mellow. fruit loops is a must-have for those seeking heady conversations and shrugging off daily stressors.","sweet, berry, lemon"
1261,1261,lemonder,hybrid,3.86,"happy, uplifted, giggly, energetic, euphoric","lemonder is a body-heavy hybrid with an outstanding aroma. this strain is a cross of lavender, super lemon haze, and og kush, and offers alert mental clarity and relaxing physical effects. the buds glitter with trichomes and are tangled in orange/bronze hairs. its aroma smells like lemon peel, pine needles, and a sprinkling of earthy spice. enjoy lemonder throughout the day as its effects are manageable and won’t pull too firmly toward stimulation or relaxation. expect smile-inducing euphoria and a calming, carefree body buzz. ","citrus, lemon, earthy"
1317,1317,mammoth,hybrid,3.86,"happy, relaxed, focused, uplifted, creative","this hybrid from the bank cannabis genetics is a cross between the sativa-dominant snowcap and indica-dominant la confidential. there isn’t a lot of  information available on mammoth, but the breeder suggests that growers should look for phenotypes featuring the enormous yields of snowcap, the shorter flowering time and manageable height of la confidential, and the dense buds, high potency, resin production, and disease resistance of both parents.","honey, earthy, woody"
248,248,blackberry haze,sativa,3.86,"happy, relaxed, uplifted, hungry, focused","blackberry haze, developed by nebu hybridz, is a sativa-dominant hybrid cross between blackberry and lime haze. unlike its sibling strain blackberry lime haze, this phenotype takes after its blackberry parent with twisting purple calyxes and a sweet berry aroma. notes of violet, spice, and cocoa can also be detected in this sativas frost-covered buds. for those days when productivity is paramount, blackberry haze offers clear, unencumbered relief that will typically leave your motivation in tact.","berry, sweet, spicy/herbal"
1895,1895,sour bubba,indica,3.86,"happy, euphoric, uplifted, relaxed, sleepy","sour bubba blends two famous strains that are robust all on their own but, when unified, show unique flavors and effects that speak to their long, potent lineages. with forward-leaning mental stimulation brought on by diesel and a high-end kush oriented body aura brought on by bubba, sour bubba relaxes while providing ample mental energy to enjoy stationary activities like board games, video games, and movies.  ","earthy, diesel, flowery"
1897,1897,sour candy,hybrid,3.86,"happy, creative, focused, uplifted, energetic","sour candy is a predominantly sativa mix of sour diesel and bubble gum. both parent strains are admired for their exquisite flavors and the happy, uplifting effects they produce. once combined, sour candy takes on a mouth-watering array of sweet, tropical fruit flavors with a pungent diesel finish. the potent effects are euphoric and talkative which makes sour candy a popular choice for daytime use.","diesel, earthy, sweet"
1695,1695,purple tangie,sativa,3.86,"happy, euphoric, energetic, relaxed, creative","a spin on the citrus-loaded tangie sativa, purple tangie is a flavorful strain that invigorates the spirit with uplifting euphoria. in a show of its quality, purple tangie took 1st place in the “best medical sativa concentrate” category at the 2016 high times cannabis cup in los angeles. you may find that purple tangie offers an energetic kick to your social skills, but this strain can certainly be enjoyed in isolation, especially when you’re occupied by creative projects.","citrus, orange, tropical"
1326,1326,manitoba poison,hybrid,3.86,"relaxed, happy, sleepy, focused, uplifted","manitoba poison is a 50/50 hybrid with heavy indica properties that vastly outweigh its sativa counterpart. its effects arrive instantaneously, delivering deep relaxation that easily converts to a good night’s sleep. the rounded, purple-fringed buds are wreathed in dark jade leaves and have a fresh, woody aroma that carries through until the exhale. bred by great white north from unnamed african varieties, manitoba poison thrives outdoors in temperate northern climates and grows about 4 feet tall.","spicy/herbal, earthy, cheese"
1252,1252,lemon og haze,hybrid,3.86,"energetic, happy, focused, euphoric, creative","lemon og haze by nirvana is the sensible combination of its titular elements: lemon og and haze. while lemon og contains weighty kush elements that are kind on the body, the excess limonene and alpha-pinene lead the consumer into a state of mental alertness and euphoria. in the right measure, this strain can be a one-way ticket to productivity, hazing the mind into a content lull while wrapping the body in a calm focus. enjoy this strain as a means to crush anxiety, depression, lethargy, and fatigue.   ","lemon, citrus, lime"
1825,1825,shipwreck,sativa,3.86,"happy, euphoric, relaxed, creative, energetic","shipwreck is a strain for a sativa treasure hunter. it gives patients a mellow lift that’s great for getting things done. a strong body buzz is also common, so shipwreck can induce laziness and sleep later on depending on tolerance and dosage. a cross of trainwreck and the elusive mothership strain, its light skunk aroma also hints at some of that lineage. if you find the frosty buds of this rare wreck at your local dispensary, be sure to take as much booty as you can carry.","sweet, pine, earthy"
2292,2292,x file,hybrid,3.86,"tingly, euphoric, relaxed","not to be confused with the similar-sounding x-files hybrid, this indica-dominant strain crosses kosher tangie with a white fire alien og and ’09 cookies hybrid. dense, chunky buds radiate with a sweet peach and citrus aroma undoubtedly powered by its tangie genetics. powerful and long-lasting, x-file’s heavy indica effects are best saved for evenings and sleepless nights.","citrus, earthy, pine"
1331,1331,marionberry kush,hybrid,3.86,"happy, relaxed, uplifted, euphoric, creative","like the fruit it is named for, marionberry kush is a delicious hybrid bred by heroes of the farm. a well-balanced cross of raspberry kush and space queen that puts off a full spectrum of fruity flavors, marionberry kush closely resembles her genetic “sister” cinderella 99. there are six main phenotypes of marionberry that all show a range of fruit flavors like passionfruit and raspberry. the aroma is smooth, sweet, and earthy with a sour twist. the effects are pronounced and uplift the mind almost immediately and then slowly relax the body without putting you to sleep. ","berry, earthy, sweet"
1247,1247,lemon jeffery,hybrid,3.86,"energetic, euphoric, creative, focused, uplifted","lemon jeffery by irie genetics was created when irie jeff blended his golden goat male with a favorite lemon skunk female. irie jeff bred these strains together to improve lemon skunk’s lanky structure while preserving the strain’s distinct lemon candy flavor. lemon jeffery can reach into the mid-20% thc range, and can produce a heavy yield if given the space to grow. this strain has an approximate flowering time of 70 days. ","lemon, ammonia, spicy/herbal"
218,218,black cherry cheesecake,hybrid,3.86,"creative, relaxed, euphoric, hungry, uplifted","thought to have originated in southern oregon from an unknown breeder, black cherry cheesecake is an indica-dominant hybrid that supposedly crosses black cherry soda, super silver haze, and cheese. these large, pink-tinged purple flowers smell like cherries and sugar, and possess a flavor that is aptly described by the name. black cherry cheesecake leaves users relatively clear-headed while providing strong, sedating body sensations that can make motivation difficult. ","berry, sweet, cheese"
1909,1909,sour haze,sativa,3.86,"uplifted, euphoric, happy, creative, relaxed","what people usually notice first about this strain is it’s strong sour smell and equally citrusy taste—it might just be enough to make you pucker. a cross between sour diesel and an unknown haze strain, sour haze is a natural favorite for fans of other haze hybrids and a good choice for anyone looking for flavor. the crystal-coated flowers are potent, but this sativa heavy high keeps users feeling focused and alert.","citrus, lemon, pungent"
1342,1342,master yoda,hybrid,3.86,"relaxed, happy, euphoric, uplifted, focused","with lab-tested thc levels that reach over 20%, strong medicine, master yoda is. this strain, however, is not about brute “force,” as the original master yoda would know, and the sativa side of this mostly indica buzz has just enough of an uplifting balance to please just about anyone. master yoda clinched 1st place at high times los angeles cannabis cup in 2012, where the og kush and master kush cross was already a local favorite. growers also like this strain for its hybrid resilience and its 8 week flowering time.","pungent, sweet, earthy"
529,529,chronic thunder,indica,3.86,"relaxed, happy, euphoric, sleepy, tingly","chronic thunder is an indica strain bred by barney’s farm that offers full-body effects alongside a funky diesel and spicy pepper aroma. save this heavy-hitter for a day in which you find your to-do list blank, because this indica will have you stuck in a comfortable place for a while. with moderate levels of cbd, chronic thunder is preferred for resolving insomnia, pain, and upset stomachs.","pungent, sweet, diesel"
1269,1269,lime green skunk,hybrid,3.86,"happy, euphoric, uplifted, relaxed, focused","happy and relaxed, lime green skunk is the laid-back daughter of super skunk and northern lights. the “lime green” description holds true for both its coloring and aroma. this strain features vibrant lime-colored leaves with a hefty amount of burnt orange hairs. the taste is a strong, sweet citrus, and the smell is equally as tropical. great for daytime smoking, lgs produces sativa-like energizing effects while still providing a calm and floaty buzz.","lime, citrus, tropical"
1884,1884,sonoma coma,sativa,3.86,"euphoric, uplifted, happy, focused, talkative","sonoma coma sprouted in sonoma county, california and presents itself with tight, electric green buds which produce a thick coat of trichomes that sparkle in the sunlight. contrary to what the name implies, sonoma coma is actually an energetic, uplifting sativa. the genetics remain a closely guarded recipe but are impressive enough to claim the prize for 1st place sativa at the 2012 high times medical cannabis cup in los angeles. a complex mixture of sweet tropical fruits and spiced, woody undertones combine to give sonoma coma its distinct aroma. the flavor maintains the aroma’s complex characteristics but provides a smooth mellow finish. true to its sativa heritage, sonoma coma produces an energetic invasion of heady effects that produce bursts of creativity and euphoria. this strain is also known to induce a case of the munchies, so it makes a great remedy to a diminished appetite.","citrus, tropical, spicy/herbal"
1883,1883,sonic screwdriver,sativa,3.86,"happy, euphoric, giggly, uplifted, energetic","sonic screwdriver by tga subcool genetics has been dubbed one of the best yielding plants of all time. with genetic parents orange cream soda and trainwreck, sonic screwdriver leans toward the sativa side, offering stimulating effects with bright, complex terpenes of ripening citrus and forest floor. trainwreck gives this strain a strong, heady onset that hits right between the eyes, but afterwards settles into the body, exhibiting a comfortable energy throughout. this strain is ideal for overcoming lethargy, curbing minor physical pain, and stimulating the appetite. ","earthy, citrus, woody"
1862,1862,skywalker og,hybrid,3.86,"relaxed, euphoric, happy, uplifted, sleepy","skywalker og is a potent indica-dominant hybrid strain that may just take you to a galaxy far, far away. no sith genetics here—this plant is a cross between skywalker and og kush and has the strong aroma characteristic to kush strains that includes a spicy herbal scent tinged with jet fuel. this strain makes relaxation your only mission, and some users report strong body effects that include mild tingling and numbness. if pain and physical limitations are the issue, skywalker og is here to rescue you. the galaxy also holds a sativa dominant variety of skywalker that is also often referred to as skywalker og or sativa og.","earthy, pungent, sweet"
1300,1300,mk ultra,indica,3.86,"relaxed, euphoric, sleepy, happy, hungry","named after the methods of mental manipulation employed by the cia’s project mkultra, this indica-dominant strain stands apart due to its powerful cerebral effects. a cross between mostly-sativa hybrid og kush and indica g-13, this strain is bred by t.h. seeds and won 1st place indica at the high times cannabis cup in 2003 and 2nd place in 2004. indoor growing is facilitated by the plant’s short stature, and its above average yield delivers particularly sticky, dense, pungent flowers. mk ultra is renowned for its ‘hypnotic’ effects that are fast-acting and best used when strong medication is desired. as evidenced by its collection of awards, this indica is one of the strongest in the world. it might be best for a day when not getting off the couch would be fine.","earthy, pungent, woody"
751,751,endless sky,indica,3.86,"euphoric, relaxed, happy, sleepy, hungry","endless sky by greenthumb seeds is an indica strain bred from grenadine and an iranian landrace. just as we might expect from a strain named “endless sky,” this strain delivers a spacey, dreamy indica experience recommended for nighttime consumption. suitable for both indoor and outdoor gardens, endless sky undergoes a 42 to 50 day flowering period and grows best with hydroponics.","berry, sweet, butter"
518,518,chocolate hashberry,hybrid,3.86,"relaxed, happy, euphoric, uplifted, sleepy","chocolate hashberry is an aromatic strain with quality effects and beautiful foliage. with a smell indicative of its name, chocolate hashberry reeks of chocolate, hashy spice, and sweet berries. this delicious scent comes from combining two fantastic kush cuts, chocolate kush and blackberry kush. on top of its excellent flavor and aroma, chocolate hashberry’s kush lineage offers a delightful mid-level sedation and a relaxed mental state that helps curb anxiety and minor pain while enhancing mood and focus. ","berry, earthy, sweet"
1301,1301,mad dawg,hybrid,3.86,"happy, uplifted, hungry, talkative, energetic","mad dog is a hybrid strain that delivers euphoric relaxation and a subtle, uplifting jolt of cerebral energy. it has an earthy pine aroma with sweet, minty undertones.","sweet, earthy, citrus"
1859,1859,skydog,indica,3.86,"focused, happy, relaxed, uplifted, euphoric","a canadian f1 hybrid strain that crosses its lineage with some haze and strong some indicas. skydog is notorious for being a pretty intense strain that takes consumers to new heights. with a generous dusting of crystals and big clusters of buds, this lemony tasting herb will have you happy to take a nice stroll anywhere you please.","pungent, skunk, spicy/herbal"
2291,2291,wreckage,hybrid,3.86,"uplifted, relaxed, focused, energetic, talkative","wreckage, bred by t.h. seeds, is a sativa-dominant cross between trainwreck and sage that provides an energetic, happy escape from stress, fatigue, and bad moods. combining flavor profiles from both parents, wreckage takes on a fresh menthol and herbal sandalwood aroma. ","earthy, nutty, sage"
1856,1856,skunkberry,hybrid,3.86,"relaxed, happy, euphoric, uplifted, creative","skunkberry is the odoriferous hybrid cross of parent strains skunk and blueberry. while the genetic makeup of this strain might seem commonplace, the unique terpenes specific to each of these fine cannabis varieties (and their robust and varied lineages) contribute to the complexity of this strains effects. while the onset of the buzz is uplifting and euphoric, the strain simultaneously melts physical pain away without being overwhelmingly sedative.","skunk, berry, blueberry"
231,231,black lime special reserve,indica,3.86,"relaxed, happy, euphoric, tingly, sleepy","from aficionado seeds comes black lime special reserve, an indica strain that descends from woodman canyon oil can, lime afghani, northern lights, purple kush, and chemdawg special reserve. flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed.","lime, pepper, citrus"
519,519,chocolate kush,indica,3.86,"relaxed, sleepy, euphoric, happy, hungry","chocolate kush, bred by 00 seeds, is a powerful indica strain that captures the best of its two parent strains. mazar, with its resin-oozing buds, lends its potent full-body euphoria while its other pure indica parent passes on a pungent aroma of hashy incense and chocolate. this strain grows into medium-sized plants with a christmas tree structure and flowers in 56 to 60 days. the sativa-dominant chocolope kush sometimes goes by the name chocolate kush, so be sure to confirm this strain’s genetics with your budtender if you’re looking for the heavy-handed indica.","earthy, sweet, woody"
1284,1284,lost coast og,hybrid,3.86,"relaxed, euphoric, uplifted, happy, creative","lost coast og is a 60/40 indica-dominant hybrid that marries chemdawg 4 genetics with those of two age-old heirloom strains, pakistani kush and lemon thai. flavors of sour citrus and earthy musk burst through on the exhale in show of its signature og terpene profile. this california native induces a soaring cerebral buzzing sensation that brings new vitality to mood, creativity, and conversation. the potently euphoric effects can sometimes skid into anxiety with large doses, so novices should approach this og with some degree of caution. ","earthy, lemon, citrus"
522,522,chocolate sap,hybrid,3.86,"talkative, uplifted, energetic, happy, euphoric","chocolate sap by taste budz is a citrus sap (gorilla glue #4 x tangie) phenotype that leans heavily toward the chocolate diesel genetics of its gorilla glue #4 parent. originally nicknamed gorilla sap, chocolate sap’s smell isn’t the pungent, chemical bouquet of gg4, but rather chocolatey and herbal to the taste. the palate is subtle and smooth, with notes of cocoa nibs and basil which open up to a gentle citrus finish. this balanced hybrid is a truly recreational strain, improving mood and outlook with each flavorful puff.  ","citrus, skunk, chemical"
1281,1281,lodi dodi,hybrid,3.86,"happy, giggly, energetic, euphoric, uplifted","lodi dodi is a sativa-dominant hybrid popular in washington state. exclusively bred by the clone zone, the genetic heritage of lodi dodi is undefined and closely guarded. lodi dodi carries a sweet, unique flavor of tropical fruit and fresh wildflowers. the pungent aroma leads the way towards a cerebral buzz, known to spark creativity and a boost of energy that will turn any task into a more enjoyable adventure.","sweet, flowery, tropical"
237,237,black tuna,hybrid,3.86,"relaxed, happy, sleepy, euphoric, hungry","black tuna is a british columbian strain created by 5 star organic to give patients a potent punch of thc that is ideal for chronic pain relief. this herijuana and lambs bread cross has gained quite a bit of fame in canada for both its strong narcotic effect and its whimsical marketing—prepackaged meds were sold in sealed tuna cans. flowers will be compact, trichome-covered and have a strong smell. black tuna doesn’t smell quite like fish, however; the strain’s name comes from the black tuna gang that was famous for smuggling colombian marijuana into the united states in the 1970s. given its potency and high thc, this strain may be too much for novice or moderate consumers.","earthy, woody, skunk"
1879,1879,snowland,hybrid,3.86,"relaxed, sleepy, talkative, creative, focused","a limited edition release from dna genetics, snowland is a cross of snowcap and la confidential created in an attempt to tame the huge size of snowcap while still producing large yields of potent, highly-resinous flowers. most phenotypes are compact indica-like plants with extremely dense buds and flavors ranging from fruit to diesel to sandalwood. reports indicate that snowland is very strong with a long lasting, balanced high.","earthy, lemon, flowery"
1276,1276,liquid butter,indica,3.86,"relaxed, sleepy, happy, talkative, giggly","liquid butter will have you melting into the couch or your favorite tub of ice cream. an extremely potent indica, this strain has powerful muscle-relaxing effects and is great for appetite stimulation. known for a taste that lives up to its namesake, the strong piney scent this strain gives off is slightly misleading. patients who suffer from pain and anxiety typically have success with this strain, but it’s best to use liquid butter when you don’t have a lot to get done. ","butter, earthy, woody"
1846,1846,sin valley og,hybrid,3.86,"sleepy, relaxed, focused, euphoric, happy","sin valley og is a 60/40 indica-dominant cannabis strain bred by sin city seeds, who crossed sfv og with a blue power indica. the resulting hybrid boasts high-yields and well-structured buds with an earthy and sour lemon aroma. beginning with a crushing blast of cerebral euphoria, sin valley og brings an edge to your appetite while coercing muscles into serene relaxation.","citrus, earthy, lemon"
527,527,chong star,hybrid,3.86,"relaxed, happy, uplifted, creative, euphoric","chong star, named in honor of tommy chong, is a hybrid strain that is cultivated and sold by marisol therapeutics in pueblo, colorado.","honey, earthy, skunk"
1842,1842,silverback gorilla,indica,3.86,"relaxed, sleepy, euphoric, happy, tingly","for the first time, dian fossey isn’t the only person able to enjoy life with the gorillas. for those struggling with insomnia and stress, silverback gorilla is a must-try strain. while typically gentle and relaxed, this indica can pack a punch. fast-acting and hard-hitting, the potency of silverback gorilla may come as a surprise. known to be a cross between grape ape and super silver haze, this strain is strictly for nighttime consumption. featuring a musky, piney aroma similar to a morning walk in the forest, this strain provides a truly relaxing experience. while this silverback isn’t endangered, it is slightly uncommon, making it potentially difficult to find but well worth the trek.","earthy, pine, sweet"
1911,1911,sour jack,sativa,3.86,"energetic, creative, happy, uplifted, euphoric","sour jack, one-half sour diesel one-half and jack herer, takes its name from its parents. it has developed a solid reputation and is highlighted by an intense aroma and profound cerebral effects. after combining the two sativa-dominant strains, we are left with an amazing combination of tropical, sweet flavors that mix with pungent tones of citrus and diesel. the uplifting effects can provide a spark of energy and minimize body fatigue. sour jack is a great strain to fight off depression and to help you stay active.","citrus, sweet, tropical"
1234,1234,lemon alien dawg,hybrid,3.86,"relaxed, creative, focused, aroused, sleepy","lemon alien dawg comes from alien genetics, who crossbred an alien dawg female with lemon kush to create this pungent hybrid cannabis strain. large chunky buds radiate with sweet and sour fruity notes dominated by the zesty scent of lemon. leaning slightly to the indica side of the genetic spectrum, lemon alien dawg lets your body sink into deep relaxation while the mind floats away to happy escapes.","pungent, pine, earthy"
217,217,black bubba,indica,3.86,"happy, relaxed, sleepy, tingly, euphoric","black bubba is an indica-dominant cross of bubba kush and black russian. the resulting buds carry a sweet aroma with subtle fruit notes that produce earthy flavors of hash and pine. the relaxing indica effects calm body pains, stimulate the appetite, and are known to sedate the body into a state of couchlock.","earthy, flowery, pine"
1199,1199,la chocolat,hybrid,3.86,"relaxed, happy, euphoric, sleepy, hungry","la chocolate, bred by dna genetics, is a 60/40 indica-dominant strain parented by their cherished la confidential indica and chocolope sativa. this power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.","earthy, coffee, sweet"
480,480,chemdawg 4 x alien og kush,hybrid,3.86,"relaxed, energetic, happy, euphoric, creative","chemdawg #4 x alien og kush is a sativa-dominant hybrid strain offered exclusively by livwell in colorado. sour and skunky in flavor, these pungent buds carry a complex fragrance with notes of earthy kush and fresh pine. prepare yourself for a blissful, relaxing experience that overtakes both mind and body, because this potent strain can skirt past 23% thc. ","nutty, mint, flowery"
1952,1952,sputnik,sativa,3.86,"happy, relaxed, energetic, tingly, euphoric","what happens when you cross a space-themed apollo 13 strain with black russian? you get sputnik, a strain named after the satellite the soviet union launched into a quick orbit around the earth in 1957. sputnik has an aroma of a sweet fruit with hints of sour and diesel when exhaled. patients typically look to sputnik for relief of chronic pain, anxiety, and insomnia.","sweet, flowery, tea"
1192,1192,kushadelic,indica,3.86,"relaxed, sleepy, euphoric, uplifted, focused","kushadelic from soma seeds mixes the potency of indica with the cerebral energy of a sativa in this g-13 haze and og kush cross. whether you’re out socializing or enjoying your own company, kushadelic provides a comfortable, versatile buzz in moderate doses. the floral, citrus aroma from kushadelic’s haze genetics pierces through dominant earthy and hashy notes. soma recommends growing kushadelic in organic soil and allowing 10 to 11 weeks for its full flowering indoors.","pungent, pine, earthy"
1956,1956,star killer,indica,3.86,"relaxed, sleepy, happy, euphoric, uplifted","star killer, winner of best hybrid flower at the 2016 colorado cannabis cup, is a 70% indica-dominant hybrid that crosses skywalker og and rare dankness #2. the dense, purple buds offer a sweet, lemon flavor, and aid in treating pain, insomnia, aids, ptsd, and gastrointestinal disorder. medium to high yields can be achieved both indoors and outdoors, with a flowering time of 65 days.","earthy, lemon, pungent"
1788,1788,sfv og kush,indica,3.86,"relaxed, happy, euphoric, uplifted, sleepy","sfv og kush, not to be confused with its precursor sfv og, is an indica-dominant strain bred from og kush genetics by the cali connection. by crossing an sfv og clone with an afghani father and selecting for favorable traits over several generations, the indica-heavy sfv og kush was born. you can smell the og genes in this one, as its odor is commonly described as a strong lemon cleaner smell intermixed with pine.","pine, earthy, lemon"
360,360,boss hogg,hybrid,3.86,"relaxed, happy, euphoric, sleepy, uplifted","boss hogg by cali connection is an indica-dominant hybrid cross between chemdawg 4 and another chem 4 backcross. this strain carries a strong earthy, hashy aroma that mixes with the funky sour diesel notes of its chemdawg parent. a true hybrid, boss hogg delivers a balance of mind and body effects that ease the body into relaxation while the mind is lifted to a happy, euphoric state. despite its heavy body effects, boss hogg is cerebrally stimulating and sharpens the senses to help you stay engaged and creative.","earthy, sweet, pungent"
566,566,cookie dough,hybrid,3.86,"relaxed, happy, euphoric, giggly, hungry","cookie dough is a wonderfully potent girl scout cookies phenotype. this particular version of the west coast’s most popular strain exhibits an orange/yellowish sheen of trichomes and a pungent doughy aroma. cookie dough’s effects align closely with gsc’s, offering medical-grade sedation on the body and a well-lit mind that borders on speedy. enjoy this strain as a means to stimulate appetite and dull physical pain while remaining mentally alert. beginners beware, as this potent phenotype can be overwhelming. negative effects such as mild dizziness and dry eyes have been noted by some consumers.  ","sweet, earthy, vanilla"
1960,1960,stardawg,hybrid,3.86,"happy, relaxed, uplifted, euphoric, talkative","stardawg, possibly named after the bright, sparkling crystal trichomes that blanket the strain like stars, is a hybrid cross between chemdawg 4 and tres dawg. earthy pine with sour notes of diesel color stardawg, whose uplifting effects may help patients treating stress, fatigue, and anxiety disorders. stardawg flowers in 67 days indoors with moderate yields. ","diesel, pungent, earthy"
477,477,chems sister,sativa,3.86,"creative, euphoric, happy, focused, relaxed","chem’s sister, also known as chem sis, is a sativa-dominant variation of the classic chemdawg strain. this phenotype first emerged in 1996 and has since evolved into the uplifting, long-lasting sativa we see on the market today. her strong cerebral effects come coupled with a distinct skunky diesel aroma underscored by accents of sweet sandalwood and citrus. over the course of her maturation, chem sis’s mint green buds burst with white hairs that darken with age.","chemical, pungent, citrus"
568,568,cookie monster,indica,3.86,"relaxed, happy, hungry, sleepy, euphoric","cookie monster is a 2014 seattle cannabis cup winner that blends the west coast royalty, girl scout cookies, and the legendary powerhouse, og kush. this combination yields dense frosted buds with hints of purple and orange hairs throughout. a 20/80 indica-dominant hybrid, cookie monster pushes the boundaries of cookies’ medical uses and leans toward medium-to-full sedation. use cookie monster to reduce physical discomfort, indigestion, or before bed to jumpstart your dream machine.   ","sweet, earthy, flowery"
1786,1786,sfv dog,hybrid,3.86,"relaxed, happy, uplifted, euphoric, focused","sfv dog by royal choice farms is a savory sfv og x chemdawg 4 cross exhibiting a pungent and unique terpene profile. described by the grower as a “meaty, classic og with a punch,” sfv dog combines strong hybrid genetics known for their high thc% and potent effects. this strain’s fast onset and heavy body buzz make it ideal for enjoying into the evening. sfv dog’s skunky, fueled meaty aroma will expand the consumer’s palate while preparing them for rest and relaxation.    ","pine, citrus, diesel"
177,177,beast mode 20,indica,3.86,"relaxed, sleepy, tingly, happy, euphoric","beast mode 2.0, also known as bluefire og, is an indica-dominant hybrid of master kush and white fire og. it is a proprietary strain distributed by green umbrella in seattle, and bred by grass roots pharm. the strain was developed on the heels of green umbrellas other successful proprietary strain, beast mode og. after another successful season for both beast mode og and seattle’s infamous running back, grass roots pharm and green umbrella collaborated to bring beast mode 2.0 to the medical market, with plans to make it available for recreational consumption later this summer. beast mode 2.0 has a sweet mix of earthy berry and piney kush flavors and has tested as high as 23% total cannabinoids by steep hill lab. the effects of this hybrid are steered by the heavy indica properties that medical patients seek when fighting chronic pain, sleeplessness, or a lack of appetite. ","earthy, woody, berry"
1180,1180,kosher tangie,hybrid,3.86,"happy, relaxed, uplifted, creative, euphoric","kosher tangie, a 60/40 indica-dominant hybrid, combines two award-winning strains from dna genetics. taking the musky pine aroma of kosher kush and crossing it with the sweet tangerine notes of tangie, kosher tnagie has complex palate of skunky citrus flavors. the combination of indica and sativa genetics provide balanced effects that calm the body and lift your mood.","citrus, pine, orange"
1179,1179,kosher kush,indica,3.86,"relaxed, sleepy, happy, euphoric, hungry","kosher kush, offered now in seed form from dna genetics, originated in los angeles as a clone-only strain. winner of high times cannabis cup’s best indica in 2010 and 2011, as well as best strain in 2011, kosher kush produces staggering levels of thc, with some samples testing over 29%. known as one of the most odiferous og kush-related strains, it has a unique yet familiar smell reminiscent of rich earth and fruit, and is considered by many to be one of the tastiest smokes around. the high experienced is typical of many heavy indica strains, producing pronounced relaxation and pain relief, with sleep often following close behind.  ","earthy, pungent, woody"
746,746,elphinstone,sativa,3.86,"happy, uplifted, focused, talkative, energetic","elphinstone is a sativa-dominant strain that combines stimulating genetics and pungent terpenes. this strain is a cross of sweet skunk and appalachia. this pungent pairing imbues the consumer with a giggly, uplifted mental state juxtaposed with mildly focused and relaxing physical effects. the flavors are a mixture of skunk and sweet 7-up-like notes. ","sweet, skunk, tropical"
570,570,cookies kush,indica,3.86,"relaxed, happy, euphoric, hungry, sleepy","cookies kush from barneys coffeeshop combines girl scout cookies with the rolex phenotype of og kush, resulting in a potent indica cross worthy of 1st place in high times 2014 amsterdam cannabis cup in the best coffeeshop strain category.","sweet, earthy, pungent"
